id,name,district,city,enrollment,up_to_date_count,conditional_count,personal_belief_exemption_count,permanent_medical_exemption_count,up_to_date_percent,conditional_percent,personal_belief_exemption_percent,permanent_medical_exemption_percent,type,is_religious,religion,frpm_percent,latitude,longitude
127696,KNOWLEDGE ENLIGHTENS YOU -KEY- ACADEMY,HAYWARD UNIFIED,HAYWARD,25,24,1,0,0,96,4,0,0,PUBLIC,,,75.8,37.604543,-121.890523
6000889,BOWMAN ELEMENTARY,HAYWARD UNIFIED,HAYWARD,60,48,12,0,0,80,20,0,0,PUBLIC,,,78,37.641653,-122.06266
6000905,BURBANK ELEMENTARY,HAYWARD UNIFIED,HAYWARD,118,114,4,0,0,97,3,0,0,PUBLIC,,,82.1,37.667951,-122.09429
6000913,CHERRYLAND ELEMENTARY,HAYWARD UNIFIED,HAYWARD,107,91,16,0,0,85,15,0,0,PUBLIC,,,79.3,37.675675,-122.09837
6000921,EAST AVENUE ELEMENTARY,HAYWARD UNIFIED,HAYWARD,85,76,9,0,0,89,11,0,0,PUBLIC,,,55.4,37.671385,-122.0542
6000947,ELDRIDGE ELEMENTARY,HAYWARD UNIFIED,HAYWARD,56,50,6,0,0,89,11,0,0,PUBLIC,,,78.8,37.636861,-122.0853
6000962,FAIRVIEW ELEMENTARY,HAYWARD UNIFIED,HAYWARD,110,105,5,0,0,95,5,0,0,PUBLIC,,,71.3,37.680342,-122.05306
6000988,GLASSBROOK ELEMENTARY,HAYWARD UNIFIED,HAYWARD,121,107,14,0,0,88,12,0,0,PUBLIC,,,76,37.640912,-122.08084
6000996,HARDER ELEMENTARY,HAYWARD UNIFIED,HAYWARD,82,78,4,0,0,95,5,0,0,PUBLIC,,,82,37.651517,-122.0724
6001044,LONGWOOD ELEMENTARY,HAYWARD UNIFIED,HAYWARD,101,91,10,0,0,90,10,0,0,PUBLIC,,,83.4,37.659077,-122.11011
6001051,LORIN A. EDEN ELEMENTARY,HAYWARD UNIFIED,HAYWARD,48,47,1,0,0,98,2,0,0,PUBLIC,,,55.7,37.624129,-122.10008
6001093,PALMA CEIA ELEMENTARY,HAYWARD UNIFIED,HAYWARD,71,65,6,0,0,92,8,0,0,PUBLIC,,,76.1,37.627205,-122.08522
6001101,PARK ELEMENTARY,HAYWARD UNIFIED,HAYWARD,88,76,12,0,0,86,14,0,0,PUBLIC,,,77.9,37.652906,-122.09405
6001127,RUUS ELEMENTARY,HAYWARD UNIFIED,HAYWARD,111,107,4,0,0,96,4,0,0,PUBLIC,,,76.2,37.62721,-122.07387
6001135,SCHAFER PARK ELEMENTARY,HAYWARD UNIFIED,HAYWARD,136,132,2,2,0,97,1,1,0,PUBLIC,,,83.2,37.642929,-122.08737
6001176,SOUTHGATE ELEMENTARY,HAYWARD UNIFIED,HAYWARD,108,95,13,0,0,88,12,0,0,PUBLIC,,,60,37.639071,-122.09444
